tag,code,species,botanical,common,dbh_cm,canopy_m,condition,tpz_r_m,drip_r_m,dist_to_disturbance_m,disturbance_in_drip_m2,overhead_clearance_check,on_city_park_land,action,x,y
T1885,TREE,SYRRET,Syringa reticulata,lilac,4,5.0,F,4.0,4.0,5.02,0.0,False,True,retain and protect (barrier fence),-6412.22,5654728.07
T1890,TREE,ACENEG,Acer negundo,maple,44,8.0,F,4.0,4.0,4.0,0.0,False,True,retain and protect (barrier fence),-6430.35,5654741.74
T1891,TREE,ULMAME,Ulmus americana,elm,26,6.0,F,4.0,4.0,5.22,0.0,False,True,retain and protect (barrier fence),-6447.28,5654737.75
T1893,CON,PICPUN,Picea pungens,spruce,29,11.0,F,4.0,5.5,4.0,13.34,True,True,retain and protect (barrier fence); no-dig / ground protection inside drip line; field-check 3.0 m clearance; prune only with Urban Forestry authorization,-6479.48,5654670.41
T1900,TREE,SYRSPP,Syringa,lilac shrub species,10,2.0,F,4.0,4.0,4.65,0.0,False,True,retain and protect (barrier fence),-6424.89,5654743.65
T1905,TREE,PRUMAA,Prunus maackii,cherry,19,6.0,F,4.0,4.0,4.0,0.0,False,True,retain and protect (barrier fence),-6482.89,5654675.52
T1906,TREE,SYRSPP,Syringa,lilac shrub species,11,2.0,F,4.0,4.0,5.19,0.0,False,True,retain and protect (barrier fence),-6425.8,5654744.19
T1915,TREE,POPSPP,Populus,poplar species,86,5.0,P,4.0,4.0,4.18,0.0,False,True,retain and protect (barrier fence); poor condition: arborist assessment before works,-6454.79,5654652.62
T1920,CON,PICGLA,Picea glauca,spruce,55,8.0,F,4.0,4.0,4.0,0.0,False,True,retain and protect (barrier fence),-6442.77,5654709.14
T1922,CON,PICGLA,Picea glauca,spruce,51,3.0,F,4.0,4.0,5.0,0.0,False,True,retain and protect (barrier fence),-6465.0,5654665.54
T1923,CON,PICGLA,Picea glauca,spruce,52,8.0,F,4.0,4.0,4.0,0.0,False,True,retain and protect (barrier fence),-6464.0,5654661.08
T1924,CON,PICGLA,Picea glauca,spruce,68,10.0,F,4.0,5.0,5.23,0.0,False,True,retain and protect (barrier fence),-6417.9,5654706.0
T1927,TREE,POPSPP,Populus,poplar species,22,8.0,F,4.0,4.0,4.0,0.0,False,True,retain and protect (barrier fence),-6436.28,5654649.21
T1931,TREE,SYRRET,Syringa reticulata,lilac,4,2.0,F,4.0,4.0,4.09,0.0,False,True,retain and protect (barrier fence),-6423.89,5654743.09
T1936,TREE,LONSPP,Lonicera,honeysuckle,9,6.0,F,4.0,4.0,5.11,0.0,False,True,retain and protect (barrier fence),-6497.66,5654731.62
T1938,TREE,FRAPEN,Fraxinus pennsylvanica,ash,29,6.0,F,4.0,4.0,4.29,0.0,False,True,retain and protect (barrier fence),-6504.68,5654722.05
T1939,TREE,FRAPEN,Fraxinus pennsylvanica,ash,34,8.0,F,4.0,4.0,5.18,0.0,False,True,retain and protect (barrier fence),-6501.84,5654753.4
T1943,CON,PICGLA,Picea glauca,spruce,43,8.0,F,4.0,4.0,5.37,0.0,False,True,retain and protect (barrier fence),-6500.2,5654757.26
T1944,CON,PICGLA,Picea glauca,spruce,29,3.0,F,4.0,4.0,4.0,0.0,False,True,retain and protect (barrier fence),-6511.62,5654692.73
T1960,CON,PICGLA,Picea glauca,spruce,45,5.0,F,4.0,4.0,4.84,0.0,False,True,retain and protect (barrier fence),-6510.62,5654694.84
T1967,CON,PICGLA,Picea glauca,spruce,44,4.0,F,4.0,4.0,5.31,0.0,False,True,retain and protect (barrier fence),-6506.89,5654691.06
T1969,TREE,FRAPEN,Fraxinus pennsylvanica,ash,33,6.0,F,4.0,4.0,3.91,0.0,False,True,retain and protect (barrier fence),-6505.87,5654719.15
T1970,TREE,FRAPEN,Fraxinus pennsylvanica,ash,32,6.0,F,4.0,4.0,5.78,0.0,False,True,retain and protect (barrier fence),-6501.94,5654723.8
T1971,TREE,FRAPEN,Fraxinus pennsylvanica,ash,26,17.0,F,4.0,8.5,4.0,49.75,True,True,retain and protect (barrier fence); no-dig / ground protection inside drip line; field-check 3.0 m clearance; prune only with Urban Forestry authorization,-6513.03,5654757.06
T1972,TREE,FRAPEN,Fraxinus pennsylvanica,ash,39,8.0,F,4.0,4.0,4.05,0.0,False,True,retain and protect (barrier fence),-6517.3,5654766.62
T1973,TREE,QUEMAC,Quercus macrocarpa,oak,33,7.0,F,4.0,4.0,4.0,0.0,False,True,retain and protect (barrier fence),-6497.25,5654736.22
T1976,CON,PICGLA,Picea glauca,spruce,39,15.0,F,4.0,7.5,5.59,9.49,True,True,retain and protect (barrier fence); no-dig / ground protection inside drip line; field-check 3.0 m clearance; prune only with Urban Forestry authorization,-6520.8,5654711.71
T1980,CON,PICGLA,Picea glauca,spruce,40,4.0,F,4.0,4.0,4.24,0.0,False,True,retain and protect (barrier fence),-6509.07,5654690.78
